round,accuracy,f1,comm_bytes,compression,CCR,delta_f1,timestamp
1,0.8773399882560188,0.7688292189728484,9676,2.0,943.9185655325495,0.1568066295092756,1773828889
2,0.799605475631239,0.6359252408803907,9676,2.0,943.9185655325495,0.2897106076017333,1773828891
3,0.8236538998610772,0.6223098963060532,9676,2.0,943.9185655325495,0.30332595217607083,1773828892
4,0.880817552358583,0.7609755586731269,9676,2.0,943.9185655325495,0.16466028980899705,1773828894
5,0.8758015267175573,0.7917212016249555,9676,2.0,943.9185655325495,0.13391464685716847,1773828896
6,0.890029359953024,0.8168342263957417,9676,2.0,943.9185655325495,0.10880162208638233,1773828897
7,0.8946447445684086,0.8330735706580367,9676,2.0,943.9185655325495,0.09256227782408732,1773828899
8,0.8977099236641222,0.877189531263577,9676,2.0,943.9185655325495,0.048446317218546975,1773828900
9,0.8977099236641222,0.877189531263577,9676,2.0,943.9185655325495,0.048446317218546975,1773828902
10,0.8965648854961833,0.8768806903991371,9676,2.0,943.9185655325495,0.048755158082986916,1773828904
11,0.898091603053435,0.8796694859173444,9676,2.0,943.9185655325495,0.045966362564779595,1773828905
12,0.898091603053435,0.8814536562784021,9676,2.0,943.9185655325495,0.04418219220372188,1773828907
13,0.8934997064004697,0.8712437964070647,9676,2.0,943.9185655325495,0.05439205207505926,1773828908
14,0.898473282442748,0.8852279696658734,9676,2.0,943.9185655325495,0.04040787881625063,1773828910
15,0.898473282442748,0.8852279696658734,9676,2.0,943.9185655325495,0.04040787881625063,1773828912
16,0.8961832061068702,0.8754455534585892,9676,2.0,943.9185655325495,0.05019029502353478,1773828913
17,0.8992366412213741,0.8935531496062993,9676,2.0,943.9185655325495,0.03208269887582471,1773828915
18,0.8961597181444511,0.8910830518324797,9676,2.0,943.9185655325495,0.03455279664964428,1773828916
19,0.8961597181444511,0.8898346141371917,9676,2.0,943.9185655325495,0.03580123434493232,1773828918
20,0.8992366412213741,0.8935531496062993,9676,2.0,943.9185655325495,0.03208269887582471,1773828920
