round,accuracy,f1,comm_bytes,compression,CCR,delta_f1,timestamp
1,0.8848510966158025,0.7909785591889775,4838,4.0,1340.2277047323582,0.13465728929314646,1773829156
2,0.7959137727807024,0.5367072966683715,4838,4.0,1340.2277047323582,0.3889285518137525,1773829158
3,0.7460557897188098,0.5215167454525517,4838,4.0,1340.2277047323582,0.4041191030295723,1773829160
4,0.8257456351487837,0.5466590868650633,4838,4.0,1340.2277047323582,0.37897676161706073,1773829162
5,0.8570504302062689,0.6054124216691548,4838,4.0,1340.2277047323582,0.3202234268129692,1773829163
6,0.8588847498400863,0.6127715055788372,4838,4.0,1340.2277047323582,0.3128643429032868,1773829165
7,0.8790317392885465,0.6487889166498737,4838,4.0,1340.2277047323582,0.2768469318322503,1773829167
8,0.886414879556917,0.7099939604827854,4838,4.0,1340.2277047323582,0.2156418879993386,1773829169
9,0.8932687288201995,0.8144088913750831,4838,4.0,1340.2277047323582,0.11122695710704089,1773829171
10,0.8984755114166878,0.8929608074564837,4838,4.0,1340.2277047323582,0.03267504102564034,1773829173
11,0.8984755114166878,0.8929608074564837,4838,4.0,1340.2277047323582,0.03267504102564034,1773829175
12,0.8953942789236906,0.8860342134628197,4838,4.0,1340.2277047323582,0.03960163501930425,1773829177
13,0.8962346150581444,0.8881179535152267,4838,4.0,1340.2277047323582,0.03751789496689728,1773829179
14,0.8987556234615057,0.8937613078330898,4838,4.0,1340.2277047323582,0.031874540649034167,1773829181
15,0.898957643663526,0.8958074231872674,4838,4.0,1340.2277047323582,0.02982842529485663,1773829183
16,0.898957643663526,0.8958074231872674,4838,4.0,1340.2277047323582,0.02982842529485663,1773829185
17,0.899237755708344,0.8965886257168384,4838,4.0,1340.2277047323582,0.029047222765285596,1773829187
18,0.899237755708344,0.8965886257168384,4838,4.0,1340.2277047323582,0.029047222765285596,1773829188
19,0.8986775316187081,0.8952807696549405,4838,4.0,1340.2277047323582,0.030355078827183468,1773829190
20,0.898957643663526,0.8958074231872674,4838,4.0,1340.2277047323582,0.02982842529485663,1773829192
