round,accuracy,f1,comm_bytes,compression,CCR,delta_f1,timestamp
1,0.6007264854360906,0.41876542299514014,3763,4.0,1234.28589569161,-0.11923956498653648,1773948009
2,0.5293880075621901,0.365756972758351,3763,4.0,1234.28589569161,-0.06623111474974736,1773948013
3,0.5005949244282535,0.39426127716423565,3763,4.0,1234.28589569161,-0.094735419155632,1773948018
4,0.510686365644198,0.424605977089204,3763,4.0,1234.28589569161,-0.12508011908060035,1773948022
5,0.508687894888703,0.4050742368989232,3763,4.0,1234.28589569161,-0.10554837889031954,1773948026
6,0.5224812203493474,0.4527906152228157,3763,4.0,1234.28589569161,-0.15326475721421207,1773948030
7,0.5330623878007493,0.467869456546364,3763,4.0,1234.28589569161,-0.16834359853776037,1773948034
8,0.5464275190102081,0.4831507259971731,3763,4.0,1234.28589569161,-0.18362486798856947,1773948037
9,0.5588105326649992,0.4828387082289254,3763,4.0,1234.28589569161,-0.18331285022032173,1773948042
10,0.5488829380882557,0.48106997829769915,3763,4.0,1234.28589569161,-0.1815441202890955,1773948046
11,0.5544031565970642,0.4884753965695248,3763,4.0,1234.28589569161,-0.18894953856092117,1773948050
12,0.5708042177430956,0.5002946747101421,3763,4.0,1234.28589569161,-0.20076881670153846,1773948054
13,0.5806559241713056,0.5055429881234522,3763,4.0,1234.28589569161,-0.20601713011484857,1773948058
14,0.5705708045052071,0.5000917152184552,3763,4.0,1234.28589569161,-0.20056585720985154,1773948062
15,0.5804277000718953,0.5021384568445083,3763,4.0,1234.28589569161,-0.20261259883590466,1773948067
16,0.5858876201617107,0.5130647795817485,3763,4.0,1234.28589569161,-0.2135389215731448,1773948071
17,0.599683508656085,0.5373286200560062,3763,4.0,1234.28589569161,-0.23780276204740258,1773948077
18,0.5977305825416503,0.5290627673767271,3763,4.0,1234.28589569161,-0.22953690936812343,1773948084
19,0.6252298373526554,0.5579932577887623,3763,4.0,1234.28589569161,-0.25846739978015865,1773948092
20,0.6093994386414254,0.544571144536059,3763,4.0,1234.28589569161,-0.24504528652745539,1773948099
