round,accuracy,f1,comm_bytes,compression,CCR,delta_f1,timestamp
1,0.8280666250097741,0.5729251634003057,4838,4.0,1340.2277047323582,0.35271068508181824,1773829080
2,0.8060778820454214,0.6168659623100685,4838,4.0,1340.2277047323582,0.3087698861720555,1773829081
3,0.8051429336445477,0.6191791074847741,4838,4.0,1340.2277047323582,0.3064567409973499,1773829083
4,0.8136493700186312,0.6508816430860045,4838,4.0,1340.2277047323582,0.2747542053961195,1773829085
5,0.8656194933911936,0.6820338647003887,4838,4.0,1340.2277047323582,0.24360198378173525,1773829087
6,0.8471910156836628,0.7208844750371767,4838,4.0,1340.2277047323582,0.20475137344494732,1773829089
7,0.8880450431921021,0.8067267061703063,4838,4.0,1340.2277047323582,0.1189091423118177,1773829091
8,0.8888890602861192,0.7617349601600776,4838,4.0,1340.2277047323582,0.1639008883220464,1773829093
9,0.8916102923061316,0.7791171102785038,4838,4.0,1340.2277047323582,0.14651873820362016,1773829095
10,0.8968270944741533,0.8804386195812338,4838,4.0,1340.2277047323582,0.045197228900890174,1773829097
11,0.8945314489432137,0.8334161250946168,4838,4.0,1340.2277047323582,0.09221972338750717,1773829099
12,0.896806510482981,0.8417905321154624,4838,4.0,1340.2277047323582,0.08384531636666159,1773829101
13,0.8981953993718699,0.8921401824651127,4838,4.0,1340.2277047323582,0.03349566601701126,1773829102
14,0.8984755114166878,0.8929608074564837,4838,4.0,1340.2277047323582,0.03267504102564034,1773829104
15,0.8984755114166878,0.8929608074564837,4838,4.0,1340.2277047323582,0.03267504102564034,1773829106
16,0.8987556234615057,0.8937613078330898,4838,4.0,1340.2277047323582,0.031874540649034167,1773829108
17,0.8981173075290723,0.8938730409483158,4838,4.0,1340.2277047323582,0.031762807533808224,1773829110
18,0.8969968593498006,0.891350195322158,4838,4.0,1340.2277047323582,0.03428565315996601,1773829112
19,0.899237755708344,0.8965886257168384,4838,4.0,1340.2277047323582,0.029047222765285596,1773829114
20,0.8978371954842543,0.8933246844794512,4838,4.0,1340.2277047323582,0.032311164002672754,1773829116
