round,accuracy,f1,comm_bytes,compression,CCR,delta_f1,timestamp
1,0.8829248366013072,0.8361569594351543,4838,4.0,1264.3904297328688,0.08954304056484563,1773950054
2,0.8826321001852916,0.824194130646814,4838,4.0,1264.3904297328688,0.10150586935318595,1773950056
3,0.8758753434285349,0.822421590644898,4838,4.0,1264.3904297328688,0.10327840935510202,1773950058
4,0.8820570570570571,0.8267980295566503,4838,4.0,1264.3904297328688,0.0989019704433497,1773950060
5,0.8698948948948949,0.8234207476093885,4838,4.0,1264.3904297328688,0.10227925239061142,1773950062
6,0.8712462462462461,0.8238179137751249,4838,4.0,1264.3904297328688,0.10188208622487505,1773950064
7,0.852364864864865,0.8199139774375107,4838,4.0,1264.3904297328688,0.10578602256248926,1773950066
8,0.8604354354354354,0.8215830273357814,4838,4.0,1264.3904297328688,0.1041169726642186,1773950068
9,0.8861111111111111,0.8789473684210527,4838,4.0,1264.3904297328688,0.04675263157894727,1773950070
10,0.8875,0.8805697151424287,4838,4.0,1264.3904297328688,0.04513028485757131,1773950072
11,0.8861111111111111,0.8789473684210527,4838,4.0,1264.3904297328688,0.04675263157894727,1773950074
12,0.8875,0.8805697151424287,4838,4.0,1264.3904297328688,0.04513028485757131,1773950076
13,0.8875,0.8805697151424287,4838,4.0,1264.3904297328688,0.04513028485757131,1773950078
14,0.8944444444444445,0.8922994652406416,4838,4.0,1264.3904297328688,0.033400534759358336,1773950080
15,0.8955912025827282,0.8444834707264613,4838,4.0,1264.3904297328688,0.08121652927353862,1773950082
16,0.8858689803605057,0.8288867623604466,4838,4.0,1264.3904297328688,0.0968132376395534,1773950084
17,0.8942023136938392,0.8422388591800356,4838,4.0,1264.3904297328688,0.08346114081996436,1773950086
18,0.8872578692493945,0.8305091090818226,4838,4.0,1264.3904297328688,0.09519089091817734,1773950088
19,0.8942023136938392,0.8425319865319864,4838,4.0,1264.3904297328688,0.08316801346801361,1773950090
20,0.8969800914716168,0.8462356902356902,4838,4.0,1264.3904297328688,0.07946430976430974,1773950092
