round,accuracy,f1,comm_bytes,compression,CCR,delta_f1,timestamp
1,0.8554334532754471,0.5793835201391785,14515,1.3333333333333333,526.8293457220286,0.3462523283429455,1773828135
2,0.6463781239331345,0.40682936975503114,14515,1.3333333333333333,526.8293457220286,0.5188064787270928,1773828137
3,0.6644196402945077,0.4338408239575758,14515,1.3333333333333333,526.8293457220286,0.4917950245245482,1773828139
4,0.745612326015958,0.5374160337918662,14515,1.3333333333333333,526.8293457220286,0.3882198146902578,1773828141
5,0.7904989059436303,0.5663661850512253,14515,1.3333333333333333,526.8293457220286,0.3592696634308987,1773828142
6,0.8442049284274894,0.6462472673490857,14515,1.3333333333333333,526.8293457220286,0.2793885811330383,1773828144
7,0.8694110468348274,0.691252281342552,14515,1.3333333333333333,526.8293457220286,0.23438356713957198,1773828146
8,0.885071225071225,0.8429041837494564,14515,1.3333333333333333,526.8293457220286,0.08273166473266758,1773828148
9,0.8937891737891738,0.8803619977692891,14515,1.3333333333333333,526.8293457220286,0.04527385071283485,1773828149
10,0.8965811965811966,0.8817195319804213,14515,1.3333333333333333,526.8293457220286,0.04391631650170269,1773828151
11,0.8920797720797721,0.87666484787595,14515,1.3333333333333333,526.8293457220286,0.04897100060617399,1773828153
12,0.8899715099715099,0.8650346859558988,14515,1.3333333333333333,526.8293457220286,0.06060116252622516,1773828154
13,0.8929344729344729,0.8819258639910814,14515,1.3333333333333333,526.8293457220286,0.043709984491042575,1773828156
14,0.8954985754985755,0.8903200452575197,14515,1.3333333333333333,526.8293457220286,0.03531580322460426,1773828158
15,0.8954985754985755,0.890481441046119,14515,1.3333333333333333,526.8293457220286,0.03515440743600495,1773828160
16,0.8969230769230769,0.8962814645308924,14515,1.3333333333333333,526.8293457220286,0.029354383951231577,1773828161
17,0.8960683760683761,0.8919898798646845,14515,1.3333333333333333,526.8293457220286,0.033645968617439515,1773828163
18,0.8963532763532763,0.8946946652542198,14515,1.3333333333333333,526.8293457220286,0.03094118322790418,1773828165
19,0.894074074074074,0.8808070016515334,14515,1.3333333333333333,526.8293457220286,0.04482884683059063,1773828166
20,0.8963532763532763,0.8946946652542198,14515,1.3333333333333333,526.8293457220286,0.03094118322790418,1773828168
