round,accuracy,f1,comm_bytes,compression,CCR,delta_f1,timestamp
1,0.8715425531914894,0.8459684881485637,4838,4.0,2902.576014504346,0.07973151185143623,1773949278
2,0.8347669477988626,0.7316328042328042,4838,4.0,2902.576014504346,0.19406719576719578,1773949279
3,0.7883359013678162,0.6670558436228469,4838,4.0,2902.576014504346,0.2586441563771531,1773949280
4,0.7618055248374397,0.6571329472329472,4838,4.0,2902.576014504346,0.2685670527670527,1773949281
5,0.7568390198709347,0.6538985994397759,4838,4.0,2902.576014504346,0.27180140056022406,1773949282
6,0.7641732772051921,0.6566821667742364,4838,4.0,2902.576014504346,0.26901783322576356,1773949283
7,0.7435218565537715,0.6485394083370453,4838,4.0,2902.576014504346,0.2771605916629547,1773949284
8,0.7468671822395228,0.6679741172407839,4838,4.0,2902.576014504346,0.25772588275921604,1773949285
9,0.732251011240373,0.6731242884840462,4838,4.0,2902.576014504346,0.2525757115159538,1773949286
10,0.7434475187134761,0.6806111307134771,4838,4.0,2902.576014504346,0.24508886928652285,1773949287
11,0.750340786776957,0.6808163017957992,4838,4.0,2902.576014504346,0.24488369820420075,1773949288
12,0.761837164496739,0.7182466780008453,4838,4.0,2902.576014504346,0.20745332199915467,1773949289
13,0.7763464364528194,0.7296568106923982,4838,4.0,2902.576014504346,0.19604318930760178,1773949290
14,0.7760180597946555,0.7341187122927926,4838,4.0,2902.576014504346,0.1915812877072074,1773949291
15,0.7750247588013546,0.7325161644538607,4838,4.0,2902.576014504346,0.19318383554613927,1773949292
16,0.793447027223623,0.7451344688067606,4838,4.0,2902.576014504346,0.18056553119323937,1773949293
17,0.7982171819937778,0.746997156094763,4838,4.0,2902.576014504346,0.17870284390523694,1773949294
18,0.80746996996997,0.7513398788780261,4838,4.0,2902.576014504346,0.17436012112197385,1773949295
19,0.8060480898246857,0.7500752052770058,4838,4.0,2902.576014504346,0.1756247947229942,1773949296
20,0.8079666204666205,0.7518776928789779,4838,4.0,2902.576014504346,0.1738223071210221,1773949297
