round,accuracy,f1,comm_bytes,compression,CCR,delta_f1,timestamp
1,0.8740839243498819,0.8564206504342765,4838,4.0,2136.851097240215,0.06927934956572346,1773949753
2,0.8552249057568206,0.7580131362889984,4838,4.0,2136.851097240215,0.1676868637110016,1773949754
3,0.8161991396592313,0.6812073752311985,4838,4.0,2136.851097240215,0.24449262476880151,1773949755
4,0.768289627937565,0.6601856188763284,4838,4.0,2136.851097240215,0.26551438112367154,1773949757
5,0.7622718360184564,0.6949926859926484,4838,4.0,2136.851097240215,0.23070731400735156,1773949758
6,0.7663770050172425,0.6896641329258977,4838,4.0,2136.851097240215,0.2360358670741023,1773949759
7,0.7780144403248905,0.7275580084673676,4838,4.0,2136.851097240215,0.19814199153263234,1773949761
8,0.8128620538959084,0.7508538983274713,4838,4.0,2136.851097240215,0.17484610167252868,1773949762
9,0.8191034957609544,0.7555944549249676,4838,4.0,2136.851097240215,0.1701055450750324,1773949763
10,0.8213731687488594,0.7556420361247947,4838,4.0,2136.851097240215,0.17005796387520522,1773949764
11,0.8227245201002107,0.7563069058462684,4838,4.0,2136.851097240215,0.1693930941537316,1773949766
12,0.8287421399299852,0.7584712971675389,4838,4.0,2136.851097240215,0.16722870283246105,1773949767
13,0.8395904882783336,0.7653791924262587,4838,4.0,2136.851097240215,0.16032080757374123,1773949768
14,0.8238892207124252,0.7559783860493801,4838,4.0,2136.851097240215,0.1697216139506199,1773949769
15,0.8328337315215768,0.7624542912404879,4838,4.0,2136.851097240215,0.16324570875951205,1773949771
16,0.8390380020904884,0.7652359735625145,4838,4.0,2136.851097240215,0.16046402643748547,1773949772
17,0.8363352993877855,0.7640970739857542,4838,4.0,2136.851097240215,0.16160292601424575,1773949773
18,0.8430920561445424,0.7668719352426914,4838,4.0,2136.851097240215,0.1588280647573086,1773949774
19,0.8355364342242796,0.7636555899417867,4838,4.0,2136.851097240215,0.16204441005821324,1773949776
20,0.8295785426310289,0.7610652811309525,4838,4.0,2136.851097240215,0.16463471886904746,1773949777
