round,accuracy,f1,comm_bytes,compression,CCR,delta_f1,timestamp
1,0.861495962600935,0.689203921950954,4838,4.0,2347.826432022084,0.23643192653116996,1773828833
2,0.888516787080323,0.8162487809802513,4838,4.0,2347.826432022084,0.10938706750187266,1773828835
3,0.8898597535061624,0.8361593841856777,4838,4.0,2347.826432022084,0.08947646429644629,1773828836
4,0.8637059073523161,0.7942406715072348,4838,4.0,2347.826432022084,0.13139517697488923,1773828837
5,0.8808244793880153,0.8353714260203791,4838,4.0,2347.826432022084,0.09026442246174493,1773828838
6,0.8865448363790905,0.8404840390729496,4838,4.0,2347.826432022084,0.08515180940917444,1773828839
7,0.8831534211644708,0.7987604172155393,4838,4.0,2347.826432022084,0.12687543126658474,1773828840
8,0.8882022949426265,0.7965854880443718,4838,4.0,2347.826432022084,0.1290503604377522,1773828842
9,0.883153421164471,0.799592030947303,4838,4.0,2347.826432022084,0.12604381753482097,1773828843
10,0.884572885677858,0.8123588908104244,4838,4.0,2347.826432022084,0.11327695767169954,1773828844
11,0.8841393965150871,0.8100679844389044,4838,4.0,2347.826432022084,0.11556786404321961,1773828845
12,0.8837059073523162,0.8156126605357794,4838,4.0,2347.826432022084,0.11002318794634458,1773828846
13,0.8835869103272419,0.8120175905305216,4838,4.0,2347.826432022084,0.11361825795160241,1773828847
14,0.8833914152146196,0.8660897368174885,4838,4.0,2347.826432022084,0.059546111664635526,1773828849
15,0.8894262643433916,0.8708307394808031,4838,4.0,2347.826432022084,0.05480510900132085,1773828850
16,0.8888737781555461,0.8206922353256785,4838,4.0,2347.826432022084,0.10494361315644551,1773828851
17,0.8906502337441564,0.8827613956339835,4838,4.0,2347.826432022084,0.04287445284814051,1773828852
18,0.8895452613684659,0.8748114563236623,4838,4.0,2347.826432022084,0.050824392158461684,1773828853
19,0.8920696982575436,0.8317290906156959,4838,4.0,2347.826432022084,0.0939067578664281,1773828854
20,0.8905312367190821,0.8782590612002377,4838,4.0,2347.826432022084,0.04737678728188632,1773828855
