round,accuracy,f1,comm_bytes,compression,CCR,delta_f1,timestamp
1,0.8517308614942886,0.647996505557463,4838,4.0,1062.730783498311,0.27763934292466097,1773828004
2,0.5815556387554391,0.4319200996984356,4838,4.0,1062.730783498311,0.4937157487836884,1773828006
3,0.5270962982446203,0.4107774059770909,4838,4.0,1062.730783498311,0.5148584425050331,1773828009
4,0.5190333532077263,0.41472328488694066,4838,4.0,1062.730783498311,0.5109125635951833,1773828011
5,0.5257696911131273,0.45645964639304004,4838,4.0,1062.730783498311,0.46917620208908395,1773828013
6,0.5296386159117742,0.4624180002954569,4838,4.0,1062.730783498311,0.4632178481866671,1773828015
7,0.5857755437187865,0.507591121157659,4838,4.0,1062.730783498311,0.41804472732446496,1773828017
8,0.6144893768129998,0.5270214188016337,4838,4.0,1062.730783498311,0.3986144296804903,1773828020
9,0.6209726351447469,0.5247845053302862,4838,4.0,1062.730783498311,0.4008513431518378,1773828022
10,0.6385630165878591,0.5433524401588539,4838,4.0,1062.730783498311,0.3822834083232701,1773828024
11,0.634534819616926,0.536272685881825,4838,4.0,1062.730783498311,0.389363162600299,1773828026
12,0.6660290366174278,0.5462886321615561,4838,4.0,1062.730783498311,0.3793472163205679,1773828029
13,0.714730048808475,0.5722661370598688,4838,4.0,1062.730783498311,0.35336971142225515,1773828031
14,0.723410441989757,0.5786694259557047,4838,4.0,1062.730783498311,0.3469664225264193,1773828033
15,0.7538501355752696,0.6410568474350375,4838,4.0,1062.730783498311,0.28457900104708644,1773828035
16,0.7671544369502231,0.594963069417397,4838,4.0,1062.730783498311,0.33067277906472703,1773828037
17,0.8218737927976278,0.6175295550894344,4838,4.0,1062.730783498311,0.3081062933926896,1773828040
18,0.8434369241514382,0.6806789758362755,4838,4.0,1062.730783498311,0.24495687264584853,1773828042
19,0.8676096706637922,0.6957823241559652,4838,4.0,1062.730783498311,0.2298535243261588,1773828044
20,0.8705172381610999,0.7452941960962961,4838,4.0,1062.730783498311,0.1803416523858279,1773828046
