round,accuracy,f1,comm_bytes,compression,CCR,delta_f1,timestamp
1,0.6045743441880385,0.4582734189039906,11289,1.3333333333333333,656.0365428884791,-0.15874756089538694,1773948408
2,0.5820023212366492,0.37156502358644034,11289,1.3333333333333333,656.0365428884791,-0.07203916557783668,1773948412
3,0.5422872305083732,0.38137046734669566,11289,1.3333333333333333,656.0365428884791,-0.08184460933809201,1773948415
4,0.52242614151352,0.36131015203639016,11289,1.3333333333333333,656.0365428884791,-0.06178429402778651,1773948418
5,0.5332480446555711,0.39454084949383017,11289,1.3333333333333333,656.0365428884791,-0.09501499148522652,1773948422
6,0.5545504374396347,0.450879027963847,11289,1.3333333333333333,656.0365428884791,-0.15135316995524334,1773948425
7,0.5720520452691095,0.4471494351285619,11289,1.3333333333333333,656.0365428884791,-0.14762357711995827,1773948429
8,0.566541923026455,0.477546772260773,11289,1.3333333333333333,656.0365428884791,-0.17802091425216937,1773948432
9,0.5754108126378845,0.4893516710795011,11289,1.3333333333333333,656.0365428884791,-0.18982581307089746,1773948436
10,0.5998540069678533,0.5001004098875997,11289,1.3333333333333333,656.0365428884791,-0.2005745518789961,1773948439
11,0.6326055683993033,0.5460562465633038,11289,1.3333333333333333,656.0365428884791,-0.2465303885547001,1773948443
12,0.6476220759804285,0.5492893699175585,11289,1.3333333333333333,656.0365428884791,-0.24976351190895485,1773948446
13,0.6433623527961038,0.5580438453394352,11289,1.3333333333333333,656.0365428884791,-0.25851798733083153,1773948449
14,0.663243803789234,0.5860652454308949,11289,1.3333333333333333,656.0365428884791,-0.28653938742229124,1773948453
15,0.6729790880364921,0.5916052958092464,11289,1.3333333333333333,656.0365428884791,-0.2920794378006427,1773948457
16,0.6736881462821052,0.6113189302201658,11289,1.3333333333333333,656.0365428884791,-0.31179307221156216,1773948460
17,0.6776260695041513,0.6141088442701788,11289,1.3333333333333333,656.0365428884791,-0.3145829862615751,1773948464
18,0.6836024690266993,0.6240086725869071,11289,1.3333333333333333,656.0365428884791,-0.3244828145783034,1773948468
19,0.6803387871717613,0.6169742308255458,11289,1.3333333333333333,656.0365428884791,-0.31744837281694216,1773948472
20,0.6773824645255304,0.6065964445318711,11289,1.3333333333333333,656.0365428884791,-0.30707058652326746,1773948475
