round,accuracy,f1,comm_bytes,compression,CCR,delta_f1,timestamp
1,0.852896855559789,0.5485029311144233,9676,2.0,833.976956548385,0.3771970688855767,1773949816
2,0.83764455945307,0.7322139119041304,9676,2.0,833.976956548385,0.19348608809586954,1773949818
3,0.8347669477988626,0.7316328042328042,9676,2.0,833.976956548385,0.19406719576719578,1773949819
4,0.8388210018529169,0.7328244306418219,9676,2.0,833.976956548385,0.19287556935817807,1773949821
5,0.8334155964475114,0.7312237384506041,9676,2.0,833.976956548385,0.1944762615493959,1773949823
6,0.8373833940323301,0.7521596752617741,9676,2.0,833.976956548385,0.1735403247382259,1773949825
7,0.8036858667177815,0.7203761904761905,9676,2.0,833.976956548385,0.20532380952380946,1773949826
8,0.8249337103060508,0.7509933337965858,9676,2.0,833.976956548385,0.17470666620341413,1773949828
9,0.8249337103060508,0.7509933337965858,9676,2.0,833.976956548385,0.17470666620341413,1773949830
10,0.8424278001405661,0.7997020707386561,9676,2.0,833.976956548385,0.1259979292613439,1773949832
11,0.8540149191744938,0.8085572157800749,9676,2.0,833.976956548385,0.11714278421992508,1773949834
12,0.8559413136540795,0.8042255746203114,9676,2.0,833.976956548385,0.12147442537968856,1773949836
13,0.84946089706728,0.8144676234275302,9676,2.0,833.976956548385,0.11123237657246976,1773949837
14,0.8915780141843971,0.8877416476972246,9676,2.0,833.976956548385,0.03795835230277533,1773949839
15,0.8812807488339404,0.8249641913001682,9676,2.0,833.976956548385,0.10073580869983179,1773949841
16,0.8892890230656189,0.8383189851190984,9676,2.0,833.976956548385,0.08738101488090155,1773949843
17,0.8916666666666666,0.8879464285714285,9676,2.0,833.976956548385,0.0377535714285715,1773949845
18,0.8892139479905439,0.8840526840370677,9676,2.0,833.976956548385,0.04164731596293225,1773949846
19,0.8947695035460994,0.8927784906757512,9676,2.0,833.976956548385,0.032921509324248754,1773949848
20,0.8930555555555555,0.8901719901719902,9676,2.0,833.976956548385,0.03552800982800974,1773949850
