round,accuracy,f1,comm_bytes,compression,CCR,delta_f1,timestamp
1,0.829698077838089,0.6248428625798045,9676,2.0,943.9185655325495,0.3007929859023195,1773828857
2,0.8168588217560607,0.5365431558185845,9676,2.0,943.9185655325495,0.3890926926635395,1773828859
3,0.828566032841773,0.5787839517565121,9676,2.0,943.9185655325495,0.3468518967256119,1773828860
4,0.8570923859855158,0.6868140467048699,9676,2.0,943.9185655325495,0.2388218017772541,1773828862
5,0.8796887844979449,0.7714626520049791,9676,2.0,943.9185655325495,0.1541731964771449,1773828864
6,0.8900411039342337,0.7792165125262173,9676,2.0,943.9185655325495,0.14641933595590673,1773828865
7,0.8927246036406341,0.8240775279245754,9676,2.0,943.9185655325495,0.10155832055754854,1773828867
8,0.890064591896653,0.8331917520040394,9676,2.0,943.9185655325495,0.0924440964780846,1773828868
9,0.8958015267175572,0.8455199176588406,9676,2.0,943.9185655325495,0.08011593082328339,1773828870
10,0.8950264239577217,0.8529167727636752,9676,2.0,943.9185655325495,0.07271907571844882,1773828872
11,0.8969348209042864,0.8821636758245143,9676,2.0,943.9185655325495,0.04347217265760972,1773828873
12,0.8950264239577217,0.8180048848082617,9676,2.0,943.9185655325495,0.10763096367386227,1773828875
13,0.8961714621256606,0.8331474130246936,9676,2.0,943.9185655325495,0.09248843545743035,1773828876
14,0.8950264239577217,0.829166800424624,9676,2.0,943.9185655325495,0.0964690480575,1773828878
15,0.8954081033470347,0.8348194433588205,9676,2.0,943.9185655325495,0.09081640512330347,1773828880
16,0.8984732824427482,0.8433615787250732,9676,2.0,943.9185655325495,0.08227426975705077,1773828881
17,0.8984732824427482,0.8433615787250732,9676,2.0,943.9185655325495,0.08227426975705077,1773828883
18,0.8988549618320612,0.8434575473118441,9676,2.0,943.9185655325495,0.08217830117027991,1773828884
19,0.8969465648854962,0.8311517547713485,9676,2.0,943.9185655325495,0.09448409371077549,1773828886
20,0.8946447445684086,0.8304433126833513,9676,2.0,943.9185655325495,0.09519253579877274,1773828888
