round,accuracy,f1,comm_bytes,compression,CCR,delta_f1,timestamp
1,0.8803736133147899,0.7739172630490982,4838,4.0,1340.2277047323582,0.15171858543302574,1773829118
2,0.8520883569045333,0.6894065800587763,4838,4.0,1340.2277047323582,0.23622926842334768,1773829120
3,0.8393973673385439,0.6810782085726208,4838,4.0,1340.2277047323582,0.2445576399095032,1773829121
4,0.858008967658358,0.6562086929704369,4838,4.0,1340.2277047323582,0.26942715551168706,1773829123
5,0.842724606878473,0.5790618032203342,4838,4.0,1340.2277047323582,0.3465740452617898,1773829125
6,0.8780545225936187,0.6990856571078039,4838,4.0,1340.2277047323582,0.2265501913743201,1773829127
7,0.864550260799715,0.625016103057469,4838,4.0,1340.2277047323582,0.30061974542465497,1773829129
8,0.8756812835856953,0.7367263526462876,4838,4.0,1340.2277047323582,0.18890949583583638,1773829131
9,0.891730267281738,0.8092339260309597,4838,4.0,1340.2277047323582,0.11640192245116432,1773829133
10,0.8973873185637892,0.882143789759365,4838,4.0,1340.2277047323582,0.043492058722758964,1773829135
11,0.8927719339484046,0.8594957061356716,4838,4.0,1340.2277047323582,0.06614014234645238,1773829137
12,0.8977132671250319,0.8895267076261308,4838,4.0,1340.2277047323582,0.03610914085599315,1773829139
13,0.8987556234615057,0.8937613078330898,4838,4.0,1340.2277047323582,0.031874540649034167,1773829140
14,0.8987556234615057,0.8937613078330898,4838,4.0,1340.2277047323582,0.031874540649034167,1773829142
15,0.8987556234615057,0.8937613078330898,4838,4.0,1340.2277047323582,0.031874540649034167,1773829144
16,0.8987556234615057,0.8937613078330898,4838,4.0,1340.2277047323582,0.031874540649034167,1773829146
17,0.8970749511925982,0.8900405727632966,4838,4.0,1340.2277047323582,0.03559527571882737,1773829148
18,0.899237755708344,0.8965886257168384,4838,4.0,1340.2277047323582,0.029047222765285596,1773829150
19,0.899237755708344,0.8965886257168384,4838,4.0,1340.2277047323582,0.029047222765285596,1773829152
20,0.899237755708344,0.8965886257168384,4838,4.0,1340.2277047323582,0.029047222765285596,1773829154
