round,accuracy,f1,comm_bytes,compression,CCR,delta_f1,timestamp
1,0.8287749287749288,0.6805051846930572,14515,1.3333333333333333,526.8293457220286,0.24513066378906678,1773828170
2,0.8297277812521715,0.5546955606969902,14515,1.3333333333333333,526.8293457220286,0.37094028778513377,1773828172
3,0.8684370439858246,0.6759228737312173,14515,1.3333333333333333,526.8293457220286,0.2497129747509067,1773828173
4,0.8440244336738238,0.6268088476267806,14515,1.3333333333333333,526.8293457220286,0.2988270008553434,1773828175
5,0.878340455840456,0.7564702532002517,14515,1.3333333333333333,526.8293457220286,0.16916559528187225,1773828177
6,0.8844284188034187,0.7816102557119029,14515,1.3333333333333333,526.8293457220286,0.1440255927702211,1773828178
7,0.8901834045584046,0.7925933159815312,14515,1.3333333333333333,526.8293457220286,0.13304253250059284,1773828180
8,0.8913390313390313,0.8504328743841517,14515,1.3333333333333333,526.8293457220286,0.07520297409797227,1773828182
9,0.896011396011396,0.8810830647220497,14515,1.3333333333333333,526.8293457220286,0.04455278376007432,1773828184
10,0.8962962962962964,0.8793613723155259,14515,1.3333333333333333,526.8293457220286,0.04627447616659808,1773828185
11,0.896011396011396,0.8829346353431884,14515,1.3333333333333333,526.8293457220286,0.0427012131389356,1773828187
12,0.8977207977207977,0.8868324484150619,14515,1.3333333333333333,526.8293457220286,0.038803400067062066,1773828189
13,0.8985754985754986,0.8940385807266272,14515,1.3333333333333333,526.8293457220286,0.03159726775549676,1773828191
14,0.8985754985754986,0.8940385807266272,14515,1.3333333333333333,526.8293457220286,0.03159726775549676,1773828192
15,0.8985754985754986,0.8940385807266272,14515,1.3333333333333333,526.8293457220286,0.03159726775549676,1773828194
16,0.8985754985754986,0.8940385807266272,14515,1.3333333333333333,526.8293457220286,0.03159726775549676,1773828196
17,0.8985754985754986,0.8940385807266272,14515,1.3333333333333333,526.8293457220286,0.03159726775549676,1773828197
18,0.8985754985754986,0.8940385807266272,14515,1.3333333333333333,526.8293457220286,0.03159726775549676,1773828199
19,0.8988603988603989,0.8948843347423419,14515,1.3333333333333333,526.8293457220286,0.030751513739782133,1773828201
20,0.8980056980056981,0.8929682915335416,14515,1.3333333333333333,526.8293457220286,0.032667556948582366,1773828203
