round,accuracy,f1,comm_bytes,compression,CCR,delta_f1,timestamp
1,0.6060116408739065,0.46775607258760454,3763,4.0,1234.28589569161,-0.1682302145790009,1773948107
2,0.5134170772773412,0.4294555273599846,3763,4.0,1234.28589569161,-0.12992966935138095,1773948114
3,0.5301734193826038,0.4559149860809731,3763,4.0,1234.28589569161,-0.15638912807236943,1773948120
4,0.5427342163362299,0.47364066778159153,3763,4.0,1234.28589569161,-0.17411480977298788,1773948126
5,0.5591490144887057,0.4863267558611305,3763,4.0,1234.28589569161,-0.18680089785252685,1773948132
6,0.5536527773059711,0.4824025914490118,3763,4.0,1234.28589569161,-0.18287673344040817,1773948137
7,0.55565002703223,0.4840065277835982,3763,4.0,1234.28589569161,-0.18448066977499455,1773948142
8,0.555082056913376,0.4858904409456081,3763,4.0,1234.28589569161,-0.18636458293700447,1773948147
9,0.5648284255396242,0.49259076013588954,3763,4.0,1234.28589569161,-0.1930649021272859,1773948153
10,0.5626986968876044,0.49379450753615195,3763,4.0,1234.28589569161,-0.1942686495275483,1773948159
11,0.5775175446995063,0.5008730961543285,3763,4.0,1234.28589569161,-0.20134723814572486,1773948165
12,0.5795763342171754,0.504662879882608,3763,4.0,1234.28589569161,-0.2051370218740044,1773948170
13,0.5836640910966445,0.5060914859659736,3763,4.0,1234.28589569161,-0.20656562795737,1773948176
14,0.5907593826790329,0.5172130733322964,3763,4.0,1234.28589569161,-0.21768721532369273,1773948181
15,0.598412312881084,0.5225284180094414,3763,4.0,1234.28589569161,-0.22300256000083774,1773948188
16,0.6012831804792625,0.5272737585847167,3763,4.0,1234.28589569161,-0.22774790057611305,1773948194
17,0.5976385109988147,0.5309090311628621,3763,4.0,1234.28589569161,-0.2313831731542585,1773948201
18,0.6096916968516106,0.5372171830364735,3763,4.0,1234.28589569161,-0.23769132502786983,1773948206
19,0.6097867910490206,0.5419002279224293,3763,4.0,1234.28589569161,-0.24237436991382566,1773948213
20,0.6136114897133685,0.5352291384751175,3763,4.0,1234.28589569161,-0.2357032804665139,1773948219
