round,accuracy,f1,comm_bytes,compression,CCR,delta_f1,timestamp
1,0.5947827058504683,0.43510118747457255,3763,4.0,1234.28589569161,-0.1355753294659689,1773948225
2,0.48018602877243854,0.38935289376184784,3763,4.0,1234.28589569161,-0.08982703575324419,1773948232
3,0.4822792116928916,0.42058190335200935,3763,4.0,1234.28589569161,-0.1210560453434057,1773948238
4,0.4954141704973387,0.43390088766701435,3763,4.0,1234.28589569161,-0.1343750296584107,1773948245
5,0.4969077520832518,0.43223645052547716,3763,4.0,1234.28589569161,-0.1327105925168735,1773948251
6,0.5159550301654521,0.4534153366048197,3763,4.0,1234.28589569161,-0.15388947859621604,1773948258
7,0.5074149964899043,0.4472070980359405,3763,4.0,1234.28589569161,-0.14768124002733685,1773948264
8,0.51744846695213,0.45448745913399796,3763,4.0,1234.28589569161,-0.1549616011253943,1773948269
9,0.525715543384548,0.46523160832200733,3763,4.0,1234.28589569161,-0.16570575031340368,1773948274
10,0.5400084325475124,0.47519832337741585,3763,4.0,1234.28589569161,-0.1756724653688122,1773948280
11,0.5493093936310239,0.48874944573178014,3763,4.0,1234.28589569161,-0.1892235877231765,1773948286
12,0.5391801106652958,0.4728429928792835,3763,4.0,1234.28589569161,-0.17331713487067985,1773948290
13,0.5584502867193752,0.49487426441940735,3763,4.0,1234.28589569161,-0.1953484064108037,1773948295
14,0.5546137629837572,0.4819235446903633,3763,4.0,1234.28589569161,-0.18239768668175965,1773948302
15,0.553157640772758,0.4871215025897401,3763,4.0,1234.28589569161,-0.18759564458113642,1773948308
16,0.5458577811840281,0.4852519754672257,3763,4.0,1234.28589569161,-0.18572611745862205,1773948314
17,0.5628737369930977,0.491804263371381,3763,4.0,1234.28589569161,-0.19227840536277735,1773948320
18,0.5611072373573012,0.5016589438349743,3763,4.0,1234.28589569161,-0.20213308582637068,1773948325
19,0.5738442054392182,0.49921164219070613,3763,4.0,1234.28589569161,-0.19968578418210248,1773948330
20,0.5737921240210045,0.5135677221946163,3763,4.0,1234.28589569161,-0.21404186418601268,1773948335
