round,accuracy,f1,comm_bytes,compression,CCR,delta_f1,timestamp
1,0.8743653356821296,0.7189083203878491,9676,2.0,943.9185655325495,0.20672752809427486,1773828921
2,0.8375796923635962,0.5915899233571904,9676,2.0,943.9185655325495,0.3340459251249336,1773828923
3,0.8440497453758333,0.5585005372786838,9676,2.0,943.9185655325495,0.36713531120344023,1773828924
4,0.850413703601536,0.548519602819183,9676,2.0,943.9185655325495,0.377116245662941,1773828926
5,0.8697123669453077,0.6275618248838674,9676,2.0,943.9185655325495,0.29807402359825663,1773828928
6,0.8795753269775798,0.6218075604902461,9676,2.0,943.9185655325495,0.3038282879918779,1773828929
7,0.8850285443987735,0.6946649375694474,9676,2.0,943.9185655325495,0.23097091091267663,1773828931
8,0.8886522150453449,0.7213687723903849,9676,2.0,943.9185655325495,0.2042670760917391,1773828933
9,0.8904227833235467,0.7832425770359422,9676,2.0,943.9185655325495,0.14239327144618175,1773828934
10,0.8896359365825015,0.8154103487288763,9676,2.0,943.9185655325495,0.11022549975324769,1773828936
11,0.8908044627128596,0.7877844866309287,9676,2.0,943.9185655325495,0.1378513618511953,1773828938
12,0.8888960657662949,0.8140521252171065,9676,2.0,943.9185655325495,0.11158372326501753,1773828939
13,0.8892660011743981,0.7907013390625928,9676,2.0,943.9185655325495,0.13493450941953122,1773828941
14,0.8900411039342337,0.8127383294724521,9676,2.0,943.9185655325495,0.11289751900967193,1773828942
15,0.8873458602466237,0.8105685101416812,9676,2.0,943.9185655325495,0.1150673383404428,1773828944
16,0.8965531415149737,0.8351217111581899,9676,2.0,943.9185655325495,0.0905141373239341,1773828945
17,0.8903992953611276,0.8281041471784887,9676,2.0,943.9185655325495,0.09753170130363531,1773828947
18,0.8953963593658252,0.8379940956913619,9676,2.0,943.9185655325495,0.08764175279076214,1773828949
19,0.891556077510276,0.825145554263527,9676,2.0,943.9185655325495,0.10049029421859701,1773828950
20,0.8950146799765122,0.8332921614490358,9676,2.0,943.9185655325495,0.09234368703308815,1773828952
