round,accuracy,f1,comm_bytes,compression,CCR,delta_f1,timestamp
1,0.8062330799502264,0.7010523549006553,4838,4.0,1180.8657771992625,0.22464764509934465,1773948670
2,0.8361182991502141,0.7320358543417367,4838,4.0,1180.8657771992625,0.1936641456582633,1773948673
3,0.7550372180691329,0.6890791979949874,4838,4.0,1180.8657771992625,0.23662080200501256,1773948676
4,0.756101047856367,0.6941048609547822,4838,4.0,1180.8657771992625,0.23159513904521778,1773948679
5,0.836111111111111,0.8111658456486044,4838,4.0,1180.8657771992625,0.11453415435139558,1773948681
6,0.8464706728004601,0.8138556169382642,4838,4.0,1180.8657771992625,0.11184438306173572,1773948684
7,0.8496246246246246,0.8166754875218825,4838,4.0,1180.8657771992625,0.10902451247811751,1773948687
8,0.8510135135135135,0.8194126903490403,4838,4.0,1180.8657771992625,0.10628730965095967,1773948690
9,0.8496246246246246,0.8177903436276642,4838,4.0,1180.8657771992625,0.10790965637233574,1773948693
10,0.8537162162162162,0.8204071135164124,4838,4.0,1180.8657771992625,0.10529288648358759,1773948696
11,0.850975975975976,0.817176774610353,4838,4.0,1180.8657771992625,0.10852322538964698,1773948699
12,0.8834459459459459,0.8295352323838081,4838,4.0,1180.8657771992625,0.09616476761619186,1773948702
13,0.8847972972972972,0.8298847836355794,4838,4.0,1180.8657771992625,0.09581521636442059,1773948705
14,0.8875,0.8805697151424287,4838,4.0,1180.8657771992625,0.04513028485757131,1773948708
15,0.8861486486486486,0.830229579088007,4838,4.0,1180.8657771992625,0.09547042091199298,1773948710
16,0.8875,0.8805697151424287,4838,4.0,1180.8657771992625,0.04513028485757131,1773948713
17,0.8875,0.8805697151424287,4838,4.0,1180.8657771992625,0.04513028485757131,1773948716
18,0.8875,0.8805697151424287,4838,4.0,1180.8657771992625,0.04513028485757131,1773948719
19,0.8875,0.8805697151424287,4838,4.0,1180.8657771992625,0.04513028485757131,1773948722
20,0.8875,0.8805697151424287,4838,4.0,1180.8657771992625,0.04513028485757131,1773948725
